StageName,StageType,Result,Resource Start,Direction,Name,Field,Row,Type,Value
,Undefined,Created session log,2/9/2024 13:37,,,,,,
Validate Inputs,Sub Sheet,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Keywords,,,Text,RPA Developer; Junior RPA Developer;
,,,,IN,Country,,,Text,united kingdom
Start,Start,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Keywords,,,Text,RPA Developer; Junior RPA Developer;
,,,,IN,Country,,,Text,united kingdom
Validate Keywords,Decision,TRUE,2/9/2024 13:37,,,,,,
Validate Country,Decision,TRUE,2/9/2024 13:37,,,,,,
End,End,,2/9/2024 13:37,,,,,,
Start Up,Sub Sheet,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,URL,,,Text,https://www.linkedin.com/
,,,,IN,LinkedIn Job Finder Credential Name,,,Text,LinkedIn Job Finder- Eduard Haponov
Get Credential,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Credentials Name,,,Text,LinkedIn Job Finder- Eduard Haponov
,,,,OUT,Username,,,Text,fvtvlnight@gmail.com
,,,,OUT,Password,,,Password,???????????????
,,,,OUT,Expiry Date,,,Date,5/4/2024
,,,,OUT,Status,,,Text,Valid
Check Credentials Invalid,Decision,TRUE,2/9/2024 13:37,,,,,,
Check Credentials Expiry ,Decision,TRUE,2/9/2024 13:37,,,,,,
Kill Chrome,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Process Name,,,Text,chrome
Launch ,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,URL,,,Text,https://www.linkedin.com/
Log In,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,User Name,,,Text,fvtvlnight@gmail.com
,,,,IN,Password,,,Password,???????????????
Add Queue,Sub Sheet,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Keywords,,,Text,RPA Developer; Junior RPA Developer;
,,,,IN,Country,,,Text,united kingdom
,,,,IN,Email,,,Text,fvtvlnight@gmail.com
Split Jobs Key Words to Collection,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Text to Split,,,Text,RPA Developer; Junior RPA Developer;
,,,,IN,Split Char,,,Text,;
,,,,IN,Collection Field Name,,,Text,Keywords
,,,,OUT,Split Values,,,,
,,,,OUT,Split Values,Keywords,1,Text,RPA Developer
,,,,OUT,Split Values,Keywords,2,Text, Junior RPA Developer
,,,,OUT,Split Values,Keywords,3,Text,
Remove Empty Rows,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Collection In,,,,
,,,,IN,Collection In,Keywords,1,Text,RPA Developer
,,,,IN,Collection In,Keywords,2,Text, Junior RPA Developer
,,,,IN,Collection In,Keywords,3,Text,
,,,,OUT,Collection Out,,,,
,,,,OUT,Collection Out,Keywords,1,Text,RPA Developer
,,,,OUT,Collection Out,Keywords,2,Text, Junior RPA Developer
Count Rows,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Collection Name,,,Text,Keywords Collection
,,,,OUT,Count,,,Number,2
Collection not Empty?,Decision,TRUE,2/9/2024 13:37,,,,,,
Keywords Loop,Loop Start,1 of 2,2/9/2024 13:37,,,,,,
Create Quote Case,Multiple Calculation,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,OUT,step1,,,Text,RPA Developer
,,,,OUT,step2,,,Text,united kingdom
,,,,OUT,step3,,,Text,fvtvlnight@gmail.com
,,,,OUT,step4,,,Text,RPA Dngdom
Is Item in queue already?,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Queue Name,,,Text,LinkedIn Job Finder
,,,,IN,Key,,,Text,RPA Dngdom
,,,,IN,Include Pending,,,Flag,TRUE
,,,,IN,Include Deferred,,,Flag,TRUE
,,,,IN,Include Completed,,,Flag,TRUE
,,,,IN,Include Terminated,,,Flag,TRUE
,,,,OUT,Result,,,Flag,FALSE
,,,,OUT,Item IDs,,,,
In Queue?,Decision,FALSE,2/9/2024 13:37,,,,,,
Add to Queue,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Queue Name,,,Text,LinkedIn Job Finder
,,,,IN,Data,,,,
,,,,IN,Tags,,,Text,RPA Developer - united kingdom
,,,,IN,Data,Keywords,1,Text,RPA Developer
,,,,IN,Data,Country,1,Text,united kingdom
,,,,IN,Data,Email,1,Text,fvtvlnight@gmail.com
,,,,IN,Data,ID,1,Text,RPA Dngdom
,,,,OUT,Item IDs,,,,
,,,,OUT,Item IDs,Item ID,1,Text,2f841355-d94b-4406-acad-01ac057483a8
Keywords Loop,Loop End,1 of 2,2/9/2024 13:37,,,,,,
Create Quote Case,Multiple Calculation,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,OUT,step1,,,Text, Junior RPA Developer
,,,,OUT,step2,,,Text,united kingdom
,,,,OUT,step3,,,Text,fvtvlnight@gmail.com
,,,,OUT,step4,,,Text,Juniongdom
Is Item in queue already?,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Queue Name,,,Text,LinkedIn Job Finder
,,,,IN,Key,,,Text,Juniongdom
,,,,IN,Include Pending,,,Flag,TRUE
,,,,IN,Include Deferred,,,Flag,TRUE
,,,,IN,Include Completed,,,Flag,TRUE
,,,,IN,Include Terminated,,,Flag,TRUE
,,,,OUT,Result,,,Flag,FALSE
,,,,OUT,Item IDs,,,,
In Queue?,Decision,FALSE,2/9/2024 13:37,,,,,,
Add to Queue,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Queue Name,,,Text,LinkedIn Job Finder
,,,,IN,Data,,,,
,,,,IN,Tags,,,Text, Junior RPA Developer - united kingdom
,,,,IN,Data,Keywords,1,Text, Junior RPA Developer
,,,,IN,Data,Country,1,Text,united kingdom
,,,,IN,Data,Email,1,Text,fvtvlnight@gmail.com
,,,,IN,Data,ID,1,Text,Juniongdom
,,,,OUT,Item IDs,,,,
,,,,OUT,Item IDs,Item ID,1,Text,7deca756-d4b6-4147-bc0c-9df1ce0c98a4
Keywords Loop,Loop End,2 of 2,2/9/2024 13:37,,,,,,
01 - Navigate to Jobs Page,Sub Sheet,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,URL,,,Text,https://www.linkedin.com/
,,,,IN,LinkedIn Job Finder Credential Name,,,Text,LinkedIn Job Finder- Eduard Haponov
Jobs Menu - Navigate,Action,,2/9/2024 13:37,,,,,,
02 - Find Job,Sub Sheet,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Keywords,,,Text,RPA Developer
,,,,IN,Country,,,Text,united kingdom
Search Job,Action,,2/9/2024 13:37,,,,,,
,,,,,,,,,
,,,,IN,Keywords,,,Text,RPA Developer
,,,,IN,Country,,,Text,united kingdom
03 - Get Jobs,Sub Sheet,,2/9/2024 13:38,,,,,,
,,,,,,,,,
